Metric Name                                                                                                                   Value
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=3}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=4}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=5}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=6}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=7}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=8}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=baseline-latency, partition=9}            : 0.000
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=0}       : 1164799.609
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=1}       : 1148853.702
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=2}       : 1141308.947
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=3}       : 1129754.031
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=4}       : 1143153.195
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=5}       : 1155253.540
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=6}       : 1144431.277
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=7}       : 1149359.828
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=8}       : 1152053.197
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=baseline-latency, partition=9}       : 1137705.446
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=0}       : 1112765.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=1}       : 1097003.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=2}       : 1088752.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=3}       : 1077935.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=4}       : 1090239.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=5}       : 1101570.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=6}       : 1092551.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=7}       : 1098508.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=8}       : 1098985.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=baseline-latency, partition=9}       : 1083873.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client}                                            : 1077208.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=0}           : 1217629.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=1}           : 1202683.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=2}           : 1194561.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=3}           : 1182466.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=4}           : 1197083.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=5}           : 1209642.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=6}           : 1196557.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=7}           : 1200689.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=8}           : 1206512.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=baseline-latency, partition=9}           : 1192178.000
consumer-fetch-manager-metrics:records-per-request-avg:{client-id=perf-consumer-client, topic=baseline-latency}             : 20.600
consumer-fetch-manager-metrics:records-per-request-avg:{client-id=perf-consumer-client}                                     : 20.600
kafka-metrics-count:count:{client-id=perf-consumer-client}                                                                  : 124.000
