Metric Name                                                                                                                     Value
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}            : 0.000
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}       : 1139256.278
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}       : 1125131.233
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}       : 1146679.171
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}       : 1155995.369
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}       : 1135802.400
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}       : 1146091.107
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}       : 1147318.332
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}       : 1141143.661
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}       : 1155323.068
consumer-fetch-manager-metrics:records-lead-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}       : 1154059.847
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}       : 1077790.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}       : 1054597.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}       : 1093886.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}       : 1100831.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}       : 1077175.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}       : 1098583.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}       : 1094328.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}       : 1087656.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}       : 1103188.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}       : 1106001.000
consumer-fetch-manager-metrics:records-lead-min:{client-id=perf-consumer-client}                                              : 1087656.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}           : 1200776.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}           : 1195716.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}           : 1199451.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}           : 1211084.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}           : 1194379.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}           : 1193473.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}           : 1200629.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}           : 1194645.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}           : 1207508.000
consumer-fetch-manager-metrics:records-lead:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}           : 1202339.000
consumer-fetch-manager-metrics:records-per-request-avg:{client-id=perf-consumer-client, topic=low-latency-phase2}             : 2232.735
consumer-fetch-manager-metrics:records-per-request-avg:{client-id=perf-consumer-client}                                       : 2232.735
kafka-metrics-count:count:{client-id=perf-consumer-client}                                                                    : 124.000
